id,EAP,HPL,MWS
id02310,0.07863381558289642,0.060331767339570436,0.8610344170775333
id24541,0.972809418144556,0.02101003824266062,0.00618054361278325
id00134,0.1038374121711945,0.86915669123605,0.027005896592755742
id27757,0.9497708327667648,0.0410930542003186,0.00913611303291661
id04081,0.9192086193369876,0.04130905444450333,0.03948232621850889
id27337,0.5862870131116629,0.3603940464068031,0.053318940481534016
id24265,0.9428672172423292,0.03686211621593194,0.020270666541739
id25917,0.0009195171213665586,0.0019789123996981624,0.9971015704789352
id04951,0.716730774233128,0.10734206429472114,0.17592716147215073
id14549,0.9536430117842568,0.025490404058556432,0.02086658415718662
id22505,0.10721276578382492,0.22045881323005856,0.6723284209861164
id24002,0.0005395325699271634,0.9987832385780012,0.0006772288520717359
id18982,0.18069355069916346,0.4185061763285849,0.4008002729722518
id15181,0.2354046408239084,0.6722523680190662,0.09234299115702556
id21888,0.07538671739551855,0.01788001081802248,0.9067332717864591
id12035,0.03168046601590016,0.06500964959928243,0.9033098843848172
id17991,0.11671904382157162,0.06658560971893175,0.8166953464594966
id10707,0.9983263722416844,0.0008424698081448978,0.0008311579501705593
id07101,0.8114780429551104,0.08156403523857528,0.10695792180631428
id00345,0.20621858121958164,0.7449014153801194,0.048880003400298855
id05912,0.8741446293911873,0.06390512779957723,0.06195024280923547
id13443,0.82461471612863,0.1158833828547505,0.0595019010166194
id09248,0.1425548527396721,0.08815405058411528,0.7692910966762126
id17542,0.18740834827558173,0.7366358679796412,0.07595578374477717
id06995,0.0010237117771387221,0.0012223296068230734,0.9977539586160382
id25159,0.7298589920720895,0.08367954868385609,0.1864614592440546
id25729,0.7750792400889437,0.1468745009651264,0.07804625894592987
id26949,0.9528246097320132,0.02717882065668233,0.019996569611304596
id27191,0.8852509029879128,0.07032347199658934,0.04442562501549787
id07668,0.08837574346455555,0.050021117928380265,0.8616031386070641
id02230,0.5851921896931278,0.13209058772460947,0.28271722258226273
id15553,0.7905510770716789,0.10110521608854034,0.1083437068397808
id25688,0.03444454245173504,0.9430472570958488,0.022508200452416083
id17545,0.9462717823916524,0.03090463094564852,0.022823586662699177
id13929,0.4075590087307021,0.5262289952258611,0.06621199604343687
id12880,0.3674609681506058,0.5632262636187823,0.06931276823061182
id19282,0.7395181181058917,0.1213598765062745,0.13912200538783373
id14690,0.033941724029908936,0.03504718770537387,0.9310110882647172
id17975,0.051804516743263467,0.8971410568024297,0.05105442645430669
id08037,0.9982879560748112,0.0009561535292921373,0.0007558903958966273
id15412,0.0006938025950211201,0.0007870566560894478,0.9985191407488896
id25032,0.4805286218226437,0.06900913426968522,0.4504622439076712
id27165,0.9130254179996898,0.04135335139337504,0.04562123060693511
id03327,0.8832846504508683,0.06746237741000331,0.04925297213912837
id18515,0.8348659661010018,0.06917466910521616,0.09595936479378199
id21003,0.06851514171725788,0.06506638100771935,0.8664184772750227
id23855,0.04383449957063903,0.9089124284871744,0.04725307194218654
id20724,0.9654471319739474,0.02022396063091573,0.014328907395136918
id13303,0.8874572572692965,0.05007061097665786,0.062472131754045535
id16521,0.11025335338115186,0.2900273738236267,0.5997192727952213
id20775,0.9966818446875042,0.0017393762163143045,0.0015787790961815898
id13029,0.5938779342246492,0.10621505684602213,0.2999070089293287
id14660,0.8884922716106908,0.06375484386388995,0.0477528845254192
id11028,0.017497904261986483,0.04844147341889556,0.9340606223191179
id14180,0.8683687397993672,0.10790475559793668,0.023726504602696083
id25860,0.9644856809002496,0.02091506355723428,0.014599255542515998
id11910,0.7271421669291176,0.05820289131994956,0.21465494175093294
id08065,0.2259973401155572,0.07488232073239426,0.6991203391520485
id22674,0.031793417001411355,0.05095866404810034,0.9172479189504884
id25018,0.2283541112826003,0.10466195844501763,0.6669839302723821
id10892,0.06271298184558946,0.8996226576040387,0.03766436055037184
id10217,0.0006264168142858968,0.9984315767405048,0.0009420064452092832
id12996,0.3892508139208036,0.2835149148009454,0.32723427127825105
id18262,0.5427009921771057,0.10050127734765517,0.3567977304752392
id08606,0.04226451324361837,0.9305290868678066,0.027206399888574984
id17233,0.9702765711532526,0.014527375105267618,0.015196053741479759
id00101,0.7119750352405817,0.18834077536954225,0.09968418938987612
id12225,0.9725751036064773,0.01450628302474804,0.01291861336877469
id01364,0.07772645649534504,0.8826795465447272,0.039593996959927616
id24973,0.4987641774737128,0.0818721048805512,0.4193637176457359
id25363,0.23712782141780575,0.3235975024000609,0.4392746761821334
id10061,0.5768901384493292,0.11723234379726928,0.30587751775340144
id17673,0.7802896607581358,0.17685151417856895,0.04285882506329517
id13249,0.7306108150647683,0.06756193994069687,0.2018272449945348
id10107,0.051429091620889184,0.0612778188926025,0.8872930894865083
id04403,0.9378267939789218,0.032448038014502675,0.029725168006575518
id25728,0.9152488393727146,0.053527615446057636,0.031223545181227687
id16184,0.3997638891639737,0.08305469908087776,0.5171814117551485
id03438,0.0004043079345281218,0.0006318747432329804,0.9989638173222388
id22923,0.15013633383664507,0.8167419615464936,0.033121704616861154
id08610,0.648692730685292,0.2566322739373573,0.09467499537735063
id25355,0.06737965726634597,0.06850288755444184,0.8641174551792121
id16916,0.6509957229828774,0.3013277889506457,0.047676488066476855
id12793,0.7170427341044199,0.25130411900930466,0.031653146886275414
id11859,0.5185320245499703,0.08345291841144138,0.39801505703858825
id02434,0.9928618699804488,0.0025473197750170056,0.004590810244534227
id27703,0.08923914714385972,0.1285219088333129,0.7822389440228273
id25212,0.06412061628131452,0.8942665413281708,0.04161284239051456
id11308,0.08999982071951028,0.06741765976025221,0.8425825195202375
id26094,0.7294446347523691,0.13940307989026982,0.13115228535736118
id22080,0.9294563463246772,0.04904505600747689,0.021498597667845728
id03545,0.998458542437848,0.0008883154901157945,0.0006531420720363188
id23725,0.09219484663176544,0.4323736156509765,0.4754315377172581
id12009,0.8247954196747368,0.10192325785393,0.07328132247133333
id24241,0.8326851548189007,0.08989831622225605,0.07741652895884314
id03596,0.09474618903087127,0.8186758424647831,0.08657796850434556
id10749,0.1597047187210487,0.7910512878204018,0.04924399345854949
id22794,0.04332883101576968,0.07033233731819323,0.886338831666037
id15482,0.7747494620903319,0.16012154967841186,0.06512898823125612
id04833,0.8726400669384704,0.09556410156745278,0.031795831494076734
id00397,0.0004913221120175714,0.0006482814268931557,0.9988603964610892
id14691,0.1465866287005221,0.3361681180488438,0.517245253250634
id05193,0.06031725892317943,0.04680930133635857,0.8928734397404621
id19541,0.9161724893782028,0.06276540564408062,0.021062104977716573
